alpha,seed,gini_final,matthew_final,shannon_final,gini_stability,matthew_stability,shannon_stability
2.0,1,0.15207780406890348,4.674885292961434,6.161744066017379,0.008795487719279651,0.206195333135843,0.0038997295998002435
2.0,2,0.17013631902000714,7.891700839534939,6.132954799547944,0.010162452285164878,0.3815945781945106,0.005966323635729188
2.0,3,0.1280069216656563,3.7490923670996437,6.179150887663379,0.0073353086504588825,0.14917711134584774,0.0026218558197243394
2.0,4,0.1838897566675992,10.50137879431707,6.110915781041133,0.011079572950189503,0.5214160227196143,0.007560884329852867
2.0,5,0.1416750077711677,3.5256633895176623,6.171045030429953,0.008130033011433814,0.1378907778820585,0.0032034642752640542
2.0,6,0.1607315207888369,7.723569499745555,6.14849682518963,0.00961620901169351,0.3723055822062265,0.0048917104847261165
2.0,7,0.1671043280582849,5.995012450897579,6.1458467773056284,0.009920912277202284,0.27301537020950706,0.0050472621301659625
2.0,8,0.19058724272374228,18.424167427307054,6.07881296829458,0.011670829796603034,0.965822898689141,0.009827663296182811
2.0,9,0.13586980880781896,4.007414536952672,6.173054263805549,0.007826677292720905,0.1649370626755161,0.0030543421164511563
2.0,10,0.20641864733565796,11.546325575526767,6.088042967244506,0.012470624978246466,0.5827863415540488,0.00915407084634466
2.5,1,0.11382470434337444,3.264779926479656,6.186140184482535,0.006483990108883495,0.12847028580356448,0.002107376257563501
2.5,2,0.12229140578673325,4.931272243456523,6.174809243304109,0.007183083884850874,0.21791207375406252,0.002934774288781968
2.5,3,0.09705195524575871,2.7428786885092484,6.194875281524367,0.005487408191080709,0.09428649688272661,0.0014623113026142856
2.5,4,0.1281661995748753,6.174546098712831,6.1670527775850745,0.007545763677372129,0.2838060260573614,0.0034944064371048122
2.5,5,0.10746976307494727,2.6497968820674145,6.190488254450766,0.006080228623292628,0.08970874532499454,0.0017765756764555147
2.5,6,0.1175101618629053,4.822791615175152,6.181474996433234,0.006910359610359684,0.21131424165254256,0.0024678573508247715
2.5,7,0.1227707660705446,3.9574542312662753,6.179258837464982,0.007178567250953663,0.16018244475324378,0.002606592201545247
2.5,8,0.1283092168110076,9.513737965161644,6.160058245508528,0.007646933554783786,0.47078782637598715,0.00397958241991449
2.5,9,0.10208557626391923,2.909526272131216,6.192060035978252,0.00578313751790672,0.10452344409923207,0.001659137924328206
2.5,10,0.14361810602962932,6.68489928750298,6.156563233553067,0.008483325240833384,0.3138837280265654,0.0042320928487593655
3.0,1,0.090835943645168,2.5786122058804697,6.197000787168246,0.005117853757111299,0.09088786234103109,0.0013050324978904687
3.0,2,0.09540054969575995,3.611578561485716,6.191514837375626,0.005538917015517489,0.14492878438035028,0.0017117419873215632
3.0,3,0.0780429723434517,2.2438470053299975,6.202129749733948,0.004368796530722366,0.06722598061476096,0.000925409646649217
3.0,4,0.09829649594363721,4.31928709283321,6.18808407970781,0.00569790265929622,0.18145922579576224,0.001958174071104733
3.0,5,0.08652476855753855,2.200225143314554,6.19939845898485,0.004843221689290647,0.06506386361825489,0.001119749890270615
3.0,6,0.09267479363995124,3.5405979773894147,6.194916892418892,0.0053864998160380135,0.1401620600013931,0.0014715069024645627
3.0,7,0.09688164194306093,3.0121835920743174,6.1933640192736155,0.005602560556109484,0.10799660874641731,0.0015688059657807452
3.0,8,0.09699668343668288,6.087457575803501,6.186354305132724,0.005681399029252647,0.2805959184991244,0.0020731312212321847
3.0,9,0.08175116465831644,2.3644031028764076,6.2005638764893956,0.004573165728735414,0.07461110142199096,0.0010323992694341497
3.0,10,0.10968991497380531,4.609860552105794,6.182351591559405,0.006381003496794188,0.19909804842949494,0.0023641955078941694
3.5,1,0.07555635978379827,2.1882855413308895,6.202692226646548,0.004220384090963363,0.06969272618770209,0.0008833530619916612
3.5,2,0.07825804792049174,2.906516941458542,6.199636363150973,0.004504129050416192,0.10597673200733489,0.0011129296245217957
3.5,3,0.0652252730258367,1.9548764052334482,6.20603201556462,0.003622391678504831,0.05168125927686567,0.000636205859162943
3.5,4,0.07983480429351664,3.3605108102836683,6.197858323921421,0.004576659504359981,0.12852788990070715,0.0012399173717928928
3.5,5,0.07241505514872104,1.9344447945959158,6.204167331240997,0.004018021333721299,0.05061636963451535,0.0007675600347241784
3.5,6,0.07658923946418472,2.856993559027732,6.201598074846526,0.004413147862483307,0.10228296623474802,0.000973769200160923
3.5,7,0.0799984973242871,2.49274346165515,6.200498122756958,0.004586329259615354,0.07943484943344942,0.0010417616006424817
3.5,8,0.0782278822779221,4.447932606387127,6.197520153184008,0.004525787978378262,0.18968940901075673,0.0012579840877208427
3.5,9,0.06820113477500356,2.048876373875472,6.205046052905268,0.003775954731636954,0.05738314256371839,0.0007015122410201874
3.5,10,0.08871666878438833,3.545049919515124,6.1943246811323585,0.005103364618122625,0.14024346431101167,0.0014911027070522507
4.0,1,0.06468164740975357,1.9416511881299823,6.206023908953233,0.0035872046315080235,0.05642074642703859,0.0006361774820699491
4.0,2,0.06638339309567853,2.481009970173626,6.204145073254902,0.0037938197210325903,0.0825332878553076,0.000779002477324163
4.0,3,0.05601002274130873,1.7695152467024238,6.208360710817897,0.003090136211648661,0.04181053754073511,0.00046357394348035
4.0,4,0.06729864271158936,2.797285906879385,6.203113301249912,0.0038256348151081373,0.09747729144244198,0.0008522179786703007
4.0,5,0.062275405669441675,1.7615802302300112,6.207003405165651,0.0034292686709432576,0.04131169682784724,0.0005580304590824792
4.0,6,0.06532268333035729,2.44455885399199,6.205378158168286,0.0037381915833651193,0.07949605735239279,0.0006913437769575264
4.0,7,0.06814069599566519,2.1728843167565857,6.204572537100158,0.0038786411352576293,0.061941618597349576,0.0007401427982300767
4.0,8,0.06568545956106431,3.5373728581889923,6.203190943437133,0.0037637914451165576,0.13927760301118994,0.0008417699861177681
4.0,9,0.05853550647220218,1.8466012771183524,6.207683557993009,0.0032118021650956925,0.04641628606609751,0.0005067458960875422
4.0,10,0.07451343682061684,2.9238346638665065,6.200745415245577,0.004248988209802306,0.10596459343099303,0.0010206584962403383
