xi,beta,rho_topo,gini_final,matthew_final,shannon_final
0,0.01,0.0,0.2075858042662373,3.497007131576538,6.140812873840332
0,0.01,0.1,0.2046448614222618,3.6387197971343994,6.1442718505859375
0,0.01,0.2,0.19642497285485738,3.0293827056884766,6.149177551269531
0,0.01,0.3,0.18674369793065465,3.1410627365112305,6.156106948852539
0,0.01,0.5,0.1899824089812487,4.075502872467041,6.151092052459717
0,0.01,0.8,0.18434001805275718,3.6757333278656006,6.155542373657227
0,0.01,1.0,0.20232104236030066,3.674988269805908,6.143039226531982
0,0.1,0.0,0.213474024367187,3.244598388671875,6.138776779174805
0,0.1,0.1,0.19806622225358056,2.691722869873047,6.150406360626221
0,0.1,0.2,0.20411527541826546,2.873730421066284,6.143144130706787
0,0.1,0.3,0.19743999775128976,3.0008091926574707,6.148682594299316
0,0.1,0.5,0.19461344698660252,3.387068510055542,6.149571895599365
0,0.1,0.8,0.19691564965258204,3.7715625762939453,6.147648811340332
0,0.1,1.0,0.1987908895828061,3.2556240558624268,6.145442008972168
0,1.0,0.0,0.19510906853805382,2.6764495372772217,6.153243541717529
0,1.0,0.1,0.1915237530873898,3.380176067352295,6.152523994445801
0,1.0,0.2,0.20116528756892613,4.300707817077637,6.144533157348633
0,1.0,0.3,0.19181763435285704,4.064297199249268,6.152325630187988
0,1.0,0.5,0.18685154542357071,3.043619394302368,6.155821800231934
0,1.0,0.8,0.18633095472458022,3.879695415496826,6.15416145324707
0,1.0,1.0,0.1881264270740867,3.182046413421631,6.153077125549316
1,0.01,0.0,0.20839474408129555,2.717524290084839,6.146838188171387
1,0.01,0.1,0.21599801707250554,2.4973838329315186,6.142144203186035
1,0.01,0.2,0.19917196118259897,2.6814332008361816,6.152337551116943
1,0.01,0.3,0.19195371336424352,2.647751569747925,6.155862808227539
1,0.01,0.5,0.2058134029553197,3.8766069412231445,6.1446990966796875
1,0.01,0.8,0.18763465146024513,2.169095993041992,6.160006999969482
1,0.01,1.0,0.1976852072297224,3.202763795852661,6.152456283569336
1,0.1,0.0,0.21257667028502414,2.936081647872925,6.142805099487305
1,0.1,0.1,0.20684358125976385,2.5574755668640137,6.147858619689941
1,0.1,0.2,0.1950999510002548,2.889528274536133,6.154922008514404
1,0.1,0.3,0.20351653549174065,2.848325252532959,6.149423599243164
1,0.1,0.5,0.19443296017570463,2.4685146808624268,6.1549906730651855
1,0.1,0.8,0.18739756306882205,2.461589813232422,6.159292221069336
1,0.1,1.0,0.18987491021214764,2.714421510696411,6.157317638397217
1,1.0,0.0,0.22310800911962247,3.696774959564209,6.135677337646484
1,1.0,0.1,0.20302922963511985,2.3394997119903564,6.150656700134277
1,1.0,0.2,0.2017649075660332,2.6063506603240967,6.150343894958496
1,1.0,0.3,0.1959890029418687,2.658130645751953,6.153984069824219
1,1.0,0.5,0.20159327073091557,2.759570360183716,6.149109840393066
1,1.0,0.8,0.18367786806237554,2.571655511856079,6.161253452301025
1,1.0,1.0,0.1903559963670877,2.35634446144104,6.157367706298828
2,0.01,0.0,0.11808940185828669,2.1334469318389893,6.189960479736328
2,0.01,0.1,0.11842326320422239,3.190974235534668,6.188320636749268
2,0.01,0.2,0.11980926705683057,2.237391948699951,6.1892290115356445
2,0.01,0.3,0.12524044563649106,3.0699565410614014,6.186339378356934
2,0.01,0.5,0.12972371990187587,2.5302529335021973,6.186172008514404
2,0.01,0.8,0.1385691746522402,2.5483500957489014,6.182126998901367
2,0.01,1.0,0.13554759241028433,1.955127239227295,6.185356140136719
2,0.1,0.0,0.12289766018749258,2.874854564666748,6.186196327209473
2,0.1,0.1,0.12043620321436836,2.813880681991577,6.188109874725342
2,0.1,0.2,0.12456546186849331,2.3983702659606934,6.186748504638672
2,0.1,0.3,0.13927721898964038,2.4845614433288574,6.180068016052246
2,0.1,0.5,0.13461929798787609,2.764385461807251,6.183711051940918
2,0.1,0.8,0.1292318568090912,2.074206590652466,6.1872029304504395
2,0.1,1.0,0.14072719674821124,3.0066514015197754,6.18108606338501
2,1.0,0.0,0.11298021089568386,2.4146411418914795,6.19053840637207
2,1.0,0.1,0.12234144579158697,2.097198247909546,6.188540458679199
2,1.0,0.2,0.12021343593755125,2.4954257011413574,6.1894097328186035
2,1.0,0.3,0.12573153499680864,2.6560988426208496,6.187442779541016
2,1.0,0.5,0.1352082849439161,3.036109447479248,6.183304309844971
2,1.0,0.8,0.12862756736760103,2.2759103775024414,6.187154769897461
2,1.0,1.0,0.14054815719610583,2.4707834720611572,6.181995391845703
3,0.01,0.0,0.1129340008222663,2.4508728981018066,6.190892219543457
3,0.01,0.1,0.11987362801512783,2.3387296199798584,6.189444065093994
3,0.01,0.2,0.11875920316103895,2.207631826400757,6.190306663513184
3,0.01,0.3,0.11795582035792493,2.1040830612182617,6.191622734069824
3,0.01,0.5,0.1304853261824841,2.547380208969116,6.186066627502441
3,0.01,0.8,0.13184142947411792,2.0994091033935547,6.186160564422607
3,0.01,1.0,0.1438455052608711,2.4584622383117676,6.179804801940918
3,0.1,0.0,0.1223121711641476,2.4383862018585205,6.187561511993408
3,0.1,0.1,0.12361535977437595,2.95955753326416,6.1858673095703125
